latitude,longitude,elevation,segment dist,total distance
37.803900,-122.160800,,0.0074,8.99,0
37.803780,-122.160520,,0.0174,9.00,0
37.803180,-122.159670,,0.0622,9.07,0
37.802825,-122.159010,,0.0436,9.11,0
37.802470,-122.158350,,0.0436,9.15,0
37.801710,-122.157320,,0.0770,9.23,0
37.801500,-122.157120,,0.0181,9.25,0
37.801290,-122.156970,,0.0166,9.27,286
37.800320,-122.155950,,0.0872,9.35,0
37.799730,-122.155140,,0.0602,9.41,0
37.799350,-122.154710,,0.0352,9.45,0
37.798860,-122.153710,,0.0643,9.51,0
37.798620,-122.153100,,0.0372,9.55,0
37.798440,-122.152550,,0.0325,9.58,0
37.798420,-122.151610,,0.0513,9.63,0
37.798400,-122.151430,,0.0099,9.64,0
37.798260,-122.150900,,0.0305,9.67,0
37.798240,-122.150540,,0.0197,9.69,0
37.798280,-122.150380,,0.0091,9.70,0
37.798340,-122.150210,,0.0101,9.71,0
37.798670,-122.149670,,0.0373,9.75,0
37.799070,-122.149370,,0.0321,9.78,57
37.799190,-122.149270,,0.0099,9.79,0
37.799450,-122.148680,,0.0369,9.83,0
37.799540,-122.148520,,0.0107,9.84,0
37.799760,-122.148220,,0.0223,9.86,0
37.799900,-122.147710,,0.0295,9.89,0
37.799890,-122.147040,,0.0366,9.93,0
37.799910,-122.146720,,0.0175,9.95,0
37.800210,-122.146000,,0.0444,9.99,0
37.800270,-122.145780,,0.0127,10.00,0
37.800340,-122.145100,,0.0374,10.04,0
37.800280,-122.144090,,0.0553,10.10,0
37.800240,-122.143940,,0.0086,10.10,0
37.800110,-122.143710,,0.0154,10.12,0
37.799840,-122.143350,,0.0271,10.15,0
37.799370,-122.142710,,0.0477,10.20,0
37.799240,-122.142560,,0.0121,10.21,0
37.798850,-122.142160,,0.0347,10.24,0
37.798680,-122.141930,,0.0172,10.26,0
37.798580,-122.141680,,0.0153,10.27,0
37.798460,-122.140980,,0.0391,10.31,0
37.798330,-122.140710,,0.0172,10.33,0
37.798260,-122.140610,,0.0073,10.34,0
37.798260,-122.140090,,0,10.34,0
37.798300,-122.139550,,0.0296,10.37,0
37.798290,-122.139400,,0.0082,10.38,0
37.798150,-122.139030,,0.0224,10.40,0
37.798020,-122.138880,,0.0121,10.41,0
37.797540,-122.138580,,0.0370,10.45,286
37.797460,-122.138370,,0.0127,10.46,0
37.797490,-122.138220,,0.0084,10.47,0
37.797540,-122.138160,,0.0047,10.47,0
37.798370,-122.137500,,0.0678,10.54,57
37.798470,-122.137370,,0.0099,10.55,0
37.798520,-122.137270,,0.0064,10.56,0
37.798500,-122.137040,,0.0126,10.57,0
37.798400,-122.136970,,0.0079,10.58,286
37.798300,-122.136960,,0.0069,10.59,286
37.797980,-122.136970,,0.0221,10.61,286
37.797910,-122.136930,,0.0053,10.61,286
37.797780,-122.136820,,0.0108,10.62,0
37.797710,-122.136580,,0.0139,10.64,0
37.797790,-122.135950,,0.0348,10.67,0
37.797780,-122.135710,,0.0131,10.69,0
37.797690,-122.135450,,0.0155,10.70,0
37.797300,-122.134920,,0.0395,10.74,0
37.797260,-122.134820,,0.0061,10.75,0
37.797250,-122.134240,,0.0317,10.78,0
37.797190,-122.134060,,0.0106,10.79,0
37.797090,-122.133880,,0.0120,10.80,0
37.796300,-122.133030,,0.0717,10.87,0
37.796210,-122.132940,,0.0079,10.88,0
37.796020,-122.132830,,0.0144,10.90,286
37.795850,-122.132590,,0.0176,10.91,0
37.795820,-122.132300,,0.0159,10.93,0
37.795730,-122.132010,,0.0170,10.95,0
37.795340,-122.131500,,0.0387,10.98,0
37.795310,-122.131410,,0.0053,10.99,0
37.795300,-122.131330,,0.0044,10.99,0
37.795480,-122.131190,,0.0146,11.01,57
37.795590,-122.131200,,0.0076,11.02,57
37.795920,-122.131320,,0.0237,11.04,57
37.796400,-122.131700,,0.0391,11.08,114
37.796760,-122.132000,,0.0298,11.11,114
37.796920,-122.132180,,0.0148,11.12,114
37.797570,-122.133160,,0.0699,11.19,114
37.797850,-122.133580,,0.0300,11.22,114
37.797950,-122.133790,,0.0134,11.24,114
37.798110,-122.134230,,0.0264,11.26,114
37.798280,-122.135170,,0.0527,11.32,114
37.798350,-122.135320,,0.0095,11.33,114
37.798570,-122.135490,,0.0178,11.34,114
37.798890,-122.135360,,0.0232,11.37,57
37.799020,-122.135360,,0,11.37,57
37.800080,-122.135660,,0.0751,11.44,57
37.800670,-122.135860,,0.0422,11.48,57
37.801140,-122.135920,,0.0326,11.52,57
37.801540,-122.135980,,0.0278,11.55,57
37.801690,-122.136070,,0.0114,11.56,114
37.801870,-122.136350,,0.0197,11.58,114
37.802130,-122.136610,,0.0229,11.60,114
37.802320,-122.136740,,0.0149,11.61,114
37.802590,-122.136800,,0.0189,11.63,57
37.802750,-122.137000,,0.0155,11.65,114
37.802890,-122.137310,,0.0195,11.67,114
37.803000,-122.137430,,0.0100,11.68,114
37.803410,-122.137620,,0.0301,11.71,57
37.803510,-122.137710,,0.0084,11.72,114
37.803700,-122.138000,,0.0205,11.74,114
37.803910,-122.138190,,0.0178,11.76,114
37.804350,-122.138400,,0.0325,11.79,57
37.804530,-122.138520,,0.0140,11.80,114
37.804750,-122.138670,,0.0172,11.82,114
37.804830,-122.138670,,0,11.82,57
37.805050,-122.138620,,0.0154,11.84,57
37.805230,-122.138620,,0,11.84,57
37.805460,-122.138770,,0.0178,11.85,114
37.805550,-122.138850,,0.0076,11.86,114
37.806000,-122.138990,,0.0320,11.89,57
37.806140,-122.139130,,0.0123,11.91,114
37.806230,-122.139400,,0.0160,11.92,114
37.806420,-122.139560,,0.0157,11.94,114
37.806690,-122.139510,,0.0188,11.96,57
37.806740,-122.139520,,0.0035,11.96,57
37.806930,-122.139890,,0.0241,11.98,114
37.807060,-122.140010,,0.0111,11.99,114
37.807170,-122.140050,,0.0079,12.00,57
37.807400,-122.140010,,0.0160,12.02,57
37.807600,-122.139820,,0.0172,12.04,0
37.807690,-122.139820,,0,12.04,57
37.807930,-122.140410,,0.0362,12.07,114
37.808000,-122.140500,,0.0069,12.08,114
37.808140,-122.140640,,0.0123,12.09,114
37.808320,-122.140990,,0.0228,12.11,114
37.808380,-122.141030,,0.0046,12.12,114
37.808450,-122.141030,,0,12.12,57
37.808860,-122.140920,,0.0289,12.15,57
37.808920,-122.140980,,0.0052,12.15,114
37.808970,-122.141040,,0.0047,12.16,114
37.809260,-122.141560,,0.0347,12.19,114
37.809400,-122.141630,,0.0104,12.20,57
37.809750,-122.141670,,0.0243,12.23,57
37.810000,-122.141940,,0.0227,12.25,114
37.810090,-122.142010,,0.0073,12.26,114
37.810160,-122.142030,,0.0049,12.26,57
37.810620,-122.141930,,0.0322,12.29,57
37.810760,-122.141940,,0.0096,12.30,57
37.810870,-122.141980,,0.0079,12.31,57
37.811040,-122.142150,,0.0149,12.33,114
37.811170,-122.142470,,0.0196,12.35,114
37.811280,-122.142650,,0.0124,12.36,114
37.811630,-122.142970,,0.0298,12.39,114
37.811700,-122.143000,,0.0051,12.39,57
37.811770,-122.143000,,0,12.39,57
37.812090,-122.142910,,0.0226,12.42,57
37.812160,-122.142920,,0.0048,12.42,57
37.812240,-122.143010,,0.0074,12.43,114
37.812490,-122.143330,,0.0245,12.45,114
37.812560,-122.143360,,0.0051,12.46,57
37.812810,-122.143410,,0.0175,12.48,57
37.813520,-122.143730,,0.0521,12.53,57
37.813760,-122.143830,,0.0174,12.55,57
37.813910,-122.143930,,0.0117,12.56,114
37.814660,-122.144310,,0.0558,12.61,57
37.815020,-122.144620,,0.0301,12.64,114
37.815250,-122.144750,,0.0174,12.66,57
37.816490,-122.144770,,0.0857,12.75,57
37.816660,-122.144850,,0.0125,12.76,57
37.816720,-122.144900,,0.0049,12.76,114
37.816970,-122.145400,,0.0323,12.80,114
37.817060,-122.145550,,0.0102,12.81,114
37.817340,-122.145750,,0.0222,12.83,114
37.817930,-122.146280,,0.0500,12.88,114
37.818470,-122.146570,,0.0405,12.92,57
37.818590,-122.146800,,0.0150,12.93,114
37.818760,-122.147300,,0.0297,12.96,114
37.818900,-122.147670,,0.0224,12.99,114
37.819120,-122.148190,,0.0322,13.02,114
37.819380,-122.148740,,0.0350,13.05,114
37.819590,-122.149620,,0.0502,13.10,114
37.819730,-122.150130,,0.0295,13.13,114
37.819910,-122.150530,,0.0251,13.16,114
37.820280,-122.151030,,0.0374,13.20,114
37.820390,-122.151210,,0.0124,13.21,114
37.820660,-122.152010,,0.0475,13.26,114
37.820810,-122.152370,,0.0222,13.28,114
37.820980,-122.152680,,0.0206,13.30,114
37.821490,-122.153620,,0.0623,13.36,114
37.821590,-122.154290,,0.0372,13.40,114
37.821650,-122.154410,,0.0077,13.41,114
37.822250,-122.155190,,0.0594,13.47,114
37.822600,-122.155590,,0.0326,13.50,114
37.822720,-122.155740,,0.0116,13.51,114
37.822970,-122.156250,,0.0327,13.54,114
37.823100,-122.156520,,0.0172,13.56,114
37.823310,-122.156890,,0.0248,13.59,114
37.823970,-122.157780,,0.0666,13.65,114
37.824090,-122.157960,,0.0128,13.67,114
37.824440,-122.158350,,0.0322,13.70,114
37.824890,-122.159110,,0.0518,13.75,114
37.824970,-122.159360,,0.0147,13.76,114
37.825010,-122.159810,,0.0247,13.79,171
37.825370,-122.160770,,0.0580,13.85,114
37.825640,-122.161380,,0.0382,13.89,114
37.825790,-122.161640,,0.0175,13.90,114
37.826920,-122.163050,,0.1097,14.01,114
37.827390,-122.163790,,0.0518,14.06,114
37.827530,-122.163950,,0.0130,14.08,114
37.828230,-122.164615,,0.0605,14.14,114
